filename,width,height,class,xmin,ymin,xmax,ymax
p60000067206nr1o3nq.jpg,640,960,good,211,227,425,443
coronavirus-contagios-china.jpeg,1120,581,good,191,239,285,331
coronavirus-contagios-china.jpeg,1120,581,good,476,237,579,341
coronavirus-contagios-china.jpeg,1120,581,good,697,92,801,194
coronavirus-contagios-china.jpeg,1120,581,bad,293,191,351,254
coronavirus-contagios-china.jpeg,1120,581,bad,595,219,635,269
coronavirus-contagios-china.jpeg,1120,581,bad,987,219,1014,262
sdsdsff.jpg,512,340,good,14,95,45,131
sdsdsff.jpg,512,340,good,116,93,147,126
sdsdsff.jpg,512,340,good,210,105,241,137
sdsdsff.jpg,512,340,good,307,92,332,123
sdsdsff.jpg,512,340,good,388,87,418,121
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,366,235,424,303
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,351,130,432,171
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,631,344,693,434
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,573,268,613,344
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,699,138,725,165
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,none,256,123,287,155
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,76,127,97,148
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,507,109,535,142
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,762,99,782,131
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,572,211,611,247
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,good,901,185,927,209
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,937,193,976,233
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,948,256,976,313
aad5d6ef-413e-4aa3-8e02-12d9178c5489.jpg,1024,576,bad,973,194,1005,223
765007-china-battles-coronavirus-outbreak-all-the-latest-updates.jpg,1000,561,good,68,501,130,539
765007-china-battles-coronavirus-outbreak-all-the-latest-updates.jpg,1000,561,good,357,232,436,315
765007-china-battles-coronavirus-outbreak-all-the-latest-updates.jpg,1000,561,good,494,242,572,313
coronavirus-philippines.jpg,1000,667,good,62,172,118,230
coronavirus-philippines.jpg,1000,667,none,219,215,267,264
coronavirus-philippines.jpg,1000,667,good,319,152,371,209
coronavirus-philippines.jpg,1000,667,good,317,390,419,522
coronavirus-philippines.jpg,1000,667,good,366,274,452,362
coronavirus-philippines.jpg,1000,667,good,519,150,549,190
